myRole,otherRole,side,myChamp,otherChamp,value
top,jng,ALLY,garen,anivia,7.85
top,jng,ALLY,garen,corki,-7.54
top,jng,ALLY,garen,kennen,-1.82
top,jng,ALLY,garen,lissandra,0.65
top,jng,ALLY,garen,rell,0.32
top,jng,ALLY,garen,smolder,-1.96
top,jng,ALLY,garen,lucian,9.86
top,jng,ALLY,garen,ahri,26.89
top,jng,ALLY,garen,yunara,-1.61
top,jng,ALLY,garen,cassiopeia,4.99
top,jng,ALLY,garen,annie,33.49
top,jng,ALLY,garen,illaoi,0.41
top,jng,ALLY,garen,velkoz,-3.2
top,jng,ALLY,garen,azir,-9.18
top,jng,ALLY,garen,aurora,2.04
top,jng,ALLY,garen,mel,15.94
top,jng,ALLY,garen,leblanc,-18.43
top,jng,ALLY,garen,yuumi,3.64
top,jng,ALLY,garen,lulu,5.22
top,jng,ALLY,garen,aphelios,-11.1
top,jng,ALLY,garen,nami,-5.77
top,jng,ALLY,garen,soraka,-4.8
top,jng,ALLY,garen,vladimir,-12.35
top,jng,ALLY,garen,vex,-11.71
top,jng,ALLY,garen,seraphine,11.71
top,jng,ALLY,garen,xerath,10.89
top,jng,ALLY,garen,xayah,-2.63
top,jng,ALLY,garen,karma,1.46
top,jng,ALLY,garen,janna,-7.63
top,jng,ALLY,garen,sona,-6.21
top,jng,ALLY,garen,orianna,-3.26
top,jng,ALLY,garen,ziggs,-21.29
top,jng,ALLY,garen,rakan,-16.62
top,jng,ALLY,garen,zilean,-7.04
top,jng,ALLY,garen,sivir,-7.84
top,jng,ALLY,garen,senna,7.38
top,jng,ALLY,garen,hwei,57.18
top,jng,ALLY,garen,milio,3.51
top,jng,ALLY,garen,kalista,39.54
top,jng,ALLY,garen,renata,2.36
top,jng,ALLY,garen,viktor,-35.41
top,jng,ALLY,garen,zoe,17.03
top,jng,ALLY,garen,syndra,70.38
top,mid,ALLY,garen,yasuo,-0.9
top,mid,ALLY,garen,akali,-0.09
top,mid,ALLY,garen,ahri,0.15
top,mid,ALLY,garen,malzahar,0.14
top,mid,ALLY,garen,veigar,1.32
top,mid,ALLY,garen,katarina,-0.32
top,mid,ALLY,garen,zed,-1.57
top,mid,ALLY,garen,yone,-0.32
top,mid,ALLY,garen,sylas,-0.6
top,mid,ALLY,garen,fizz,-0.1
top,mid,ALLY,garen,ryze,-0.14
top,mid,ALLY,garen,syndra,0.5
top,mid,ALLY,garen,mel,0.79
top,mid,ALLY,garen,lux,0.99
top,mid,ALLY,garen,ekko,-0.07
top,mid,ALLY,garen,diana,-0.33
top,mid,ALLY,garen,viktor,0.19
top,mid,ALLY,garen,galio,0.01
top,mid,ALLY,garen,naafiri,-0.12
top,mid,ALLY,garen,orianna,0.46
top,mid,ALLY,garen,xerath,0.37
top,mid,ALLY,garen,leblanc,-0.18
top,mid,ALLY,garen,vex,0.96
top,mid,ALLY,garen,twistedfate,-0.64
top,mid,ALLY,garen,kassadin,-1.41
top,mid,ALLY,garen,aurelionsol,0.01
top,mid,ALLY,garen,zoe,-0.58
top,mid,ALLY,garen,irelia,-0.81
top,mid,ALLY,garen,hwei,0.99
top,mid,ALLY,garen,lissandra,-0.04
top,mid,ALLY,garen,vladimir,-0.34
top,mid,ALLY,garen,anivia,0.26
top,mid,ALLY,garen,aurora,0.81
top,mid,ALLY,garen,akshan,-1.81
top,mid,ALLY,garen,azir,0.13
top,mid,ALLY,garen,varus,1.38
top,mid,ALLY,garen,swain,0.44
top,mid,ALLY,garen,brand,0.78
top,mid,ALLY,garen,qiyana,-1.19
top,mid,ALLY,garen,taliyah,-0.7
top,mid,ALLY,garen,velkoz,1.26
top,mid,ALLY,garen,cassiopeia,1.13
top,mid,ALLY,garen,annie,1.2
top,mid,ALLY,garen,talon,-1.56
top,mid,ALLY,garen,malphite,1.07
top,mid,ALLY,garen,ziggs,1.19
top,mid,ALLY,garen,morgana,1.03
top,mid,ALLY,garen,smolder,-0.63
top,mid,ALLY,garen,pantheon,-1.67
top,mid,ALLY,garen,kennen,-0.21
top,mid,ALLY,garen,kayle,1.08
top,mid,ALLY,garen,neeko,-1.32
top,mid,ALLY,garen,chogath,-1.27
top,mid,ALLY,garen,heimerdinger,0.77
top,mid,ALLY,garen,sion,-0.8
top,mid,ALLY,garen,jayce,-0.46
top,mid,ALLY,garen,tristana,-1.4
top,mid,ALLY,garen,ezreal,0.55
top,mid,ALLY,garen,gangplank,-1.07
top,mid,ALLY,garen,teemo,-2.76
top,mid,ALLY,garen,nasus,2.45
top,mid,ALLY,garen,quinn,0.16
top,mid,ALLY,garen,viego,-2.63
top,mid,ALLY,garen,corki,-2.55
top,mid,ALLY,garen,mordekaiser,-0.16
top,mid,ALLY,garen,zyra,0.64
top,mid,ALLY,garen,caitlyn,-1
top,mid,ALLY,garen,gragas,-1.88
top,mid,ALLY,garen,renekton,0.58
top,mid,ALLY,garen,yorick,-1.81
top,mid,ALLY,garen,seraphine,0.65
top,mid,ALLY,garen,tryndamere,-1.54
top,mid,ALLY,garen,sett,-0.15
top,mid,ALLY,garen,kaisa,3.4
top,mid,ALLY,garen,twitch,-1.05
top,mid,ALLY,garen,zilean,0
top,mid,ALLY,garen,jhin,0.49
top,mid,ALLY,garen,karma,1.51
top,mid,ALLY,garen,riven,-3.1
top,mid,ALLY,garen,briar,2.75
top,mid,ALLY,garen,rumble,0.11
top,mid,ALLY,garen,lucian,1.02
top,mid,ALLY,garen,missfortune,2.01
top,mid,ALLY,garen,ashe,-0.87
top,mid,ALLY,garen,vayne,-2.26
top,mid,ALLY,garen,kogmaw,-2.59
top,mid,ALLY,garen,drmundo,1.43
top,mid,ALLY,garen,karthus,1.03
top,mid,ALLY,garen,singed,1.47
top,mid,ALLY,garen,ambessa,1.54
top,mid,ALLY,garen,tahmkench,1.66
top,mid,ALLY,garen,xinzhao,-0.94
top,mid,ALLY,garen,jax,-1.46
top,mid,ALLY,garen,gwen,-5.27
top,mid,ALLY,garen,zac,-0.16
top,mid,ALLY,garen,masteryi,3.04
top,mid,ALLY,garen,zaahen,-1.68
top,mid,ALLY,garen,wukong,-3.34
top,mid,ALLY,garen,fiddlesticks,-3.9
top,mid,ALLY,garen,leesin,-2.69
top,mid,ALLY,garen,shen,4.82
top,mid,ALLY,garen,aatrox,2.52
top,mid,ALLY,garen,darius,-2.99
top,mid,ALLY,garen,volibear,-4.15
top,mid,ALLY,garen,kled,1.26
top,mid,ALLY,garen,graves,0.22
top,mid,ALLY,garen,illaoi,1.48
top,mid,ALLY,garen,nunu,3.31
top,mid,ALLY,garen,draven,-0.65
top,mid,ALLY,garen,nocturne,0.77
top,mid,ALLY,garen,nidalee,4.45
top,mid,ALLY,garen,urgot,-2.82
top,mid,ALLY,garen,aphelios,-2.08
top,mid,ALLY,garen,jarvaniv,-4
top,mid,ALLY,garen,ksante,-3.09
top,mid,ALLY,garen,ornn,3.28
top,mid,ALLY,garen,yunara,-3.61
top,mid,ALLY,garen,pyke,-4.33
top,mid,ALLY,garen,vi,-1.39
top,mid,ALLY,garen,samira,4.31
top,mid,ALLY,garen,jinx,5.78
top,mid,ALLY,garen,fiora,-0.77
top,mid,ALLY,garen,nautilus,1.94
top,mid,ALLY,garen,shaco,2.67
top,mid,ALLY,garen,sejuani,-2.77
top,mid,ALLY,garen,sivir,0.7
top,mid,ALLY,garen,senna,2.37
top,mid,ALLY,garen,rakan,-2.1
top,mid,ALLY,garen,gnar,1.66
top,mid,ALLY,garen,kalista,-3.12
top,mid,ALLY,garen,zeri,-3.92
top,mid,ALLY,garen,elise,-2.08
top,mid,ALLY,garen,soraka,2.04
top,mid,ALLY,garen,camille,2.15
top,mid,ALLY,garen,trundle,-0.62
top,mid,ALLY,garen,warwick,-3.39
top,mid,ALLY,garen,kayn,-2.76
top,mid,ALLY,garen,lillia,-6.71
top,mid,ALLY,garen,lulu,-5.04
top,mid,ALLY,garen,blitzcrank,-4.34
top,mid,ALLY,garen,shyvana,2.48
top,mid,ALLY,garen,alistar,1.55
top,mid,ALLY,garen,olaf,5.19
top,mid,ALLY,garen,udyr,-0.04
top,mid,ALLY,garen,kindred,1.05
top,mid,ALLY,garen,poppy,7.03
top,mid,ALLY,garen,thresh,-2.99
top,mid,ALLY,garen,ivern,-1.74
top,mid,ALLY,garen,maokai,2.45
top,mid,ALLY,garen,xayah,-2.79
top,mid,ALLY,garen,rammus,-1.28
top,mid,ALLY,garen,evelynn,6.42
top,mid,ALLY,garen,bard,5.79
top,mid,ALLY,garen,reksai,-16.62
top,mid,ALLY,garen,sona,-4.37
top,mid,ALLY,garen,yuumi,5.58
top,mid,ALLY,garen,khazix,-5.22
top,mid,ALLY,garen,janna,6.15
top,mid,ALLY,garen,milio,-3.06
top,mid,ALLY,garen,nilah,6.57
top,mid,ALLY,garen,taric,-1.56
top,mid,ALLY,garen,amumu,10.96
top,mid,ALLY,garen,leona,11.85
top,mid,ALLY,garen,nami,9.08
top,mid,ALLY,garen,belveth,6.53
top,mid,ALLY,garen,skarner,-1.48
top,mid,ALLY,garen,rell,3.66
top,mid,ALLY,garen,rengar,-9.91
top,mid,ALLY,garen,hecarim,-4.35
top,mid,ALLY,garen,braum,-13.07
top,mid,ALLY,garen,renata,43.9
top,bot,ALLY,garen,caitlyn,-0.02
top,bot,ALLY,garen,jinx,-0.22
top,bot,ALLY,garen,missfortune,0.23
top,bot,ALLY,garen,jhin,-0.02
top,bot,ALLY,garen,kaisa,-0.16
top,bot,ALLY,garen,ezreal,0.19
top,bot,ALLY,garen,smolder,0.34
top,bot,ALLY,garen,ashe,0.53
top,bot,ALLY,garen,aphelios,-0.38
top,bot,ALLY,garen,yunara,-0.24
top,bot,ALLY,garen,vayne,-0.17
top,bot,ALLY,garen,varus,0.44
top,bot,ALLY,garen,lucian,-0.64
top,bot,ALLY,garen,twitch,0.03
top,bot,ALLY,garen,sivir,-0.13
top,bot,ALLY,garen,tristana,-0.9
top,bot,ALLY,garen,samira,-0.87
top,bot,ALLY,garen,draven,-0.18
top,bot,ALLY,garen,xayah,-0.9
top,bot,ALLY,garen,nilah,-1.46
top,bot,ALLY,garen,corki,-0.46
top,bot,ALLY,garen,ziggs,0.8
top,bot,ALLY,garen,zeri,-1.23
top,bot,ALLY,garen,swain,1.36
top,bot,ALLY,garen,kogmaw,0.31
top,bot,ALLY,garen,veigar,0.68
top,bot,ALLY,garen,yasuo,-0.02
top,bot,ALLY,garen,kalista,-1.2
top,bot,ALLY,garen,brand,0.82
top,bot,ALLY,garen,mel,1.01
top,bot,ALLY,garen,lux,1.32
top,bot,ALLY,garen,seraphine,0.55
top,bot,ALLY,garen,senna,0.91
top,bot,ALLY,garen,aurelionsol,0.89
top,bot,ALLY,garen,hwei,1.87
top,bot,ALLY,garen,velkoz,0.64
top,bot,ALLY,garen,xerath,2.2
top,bot,ALLY,garen,karthus,-1.29
top,bot,ALLY,garen,vladimir,0.13
top,bot,ALLY,garen,malzahar,1.02
top,bot,ALLY,garen,katarina,1.56
top,bot,ALLY,garen,syndra,1.09
top,bot,ALLY,garen,teemo,0.73
top,bot,ALLY,garen,heimerdinger,1.53
top,bot,ALLY,garen,viktor,3.46
top,bot,ALLY,garen,cassiopeia,3.52
top,bot,ALLY,garen,twistedfate,5.7
top,bot,ALLY,garen,yone,-1.19
top,bot,ALLY,garen,akshan,1.99
top,bot,ALLY,garen,morgana,4.44
top,bot,ALLY,garen,quinn,0.07
top,bot,ALLY,garen,zyra,0.04
top,bot,ALLY,garen,ryze,3.67
top,bot,ALLY,garen,tahmkench,-2.93
top,bot,ALLY,garen,anivia,-4.03
top,bot,ALLY,garen,irelia,-2.72
top,bot,ALLY,garen,ahri,-2.36
top,bot,ALLY,garen,chogath,0.18
top,bot,ALLY,garen,sion,-3.7
top,bot,ALLY,garen,naafiri,2.9
top,bot,ALLY,garen,neeko,0.7
top,bot,ALLY,garen,aurora,-1.89
top,bot,ALLY,garen,taliyah,2.24
top,bot,ALLY,garen,masteryi,-0.64
top,bot,ALLY,garen,kayle,5.11
top,bot,ALLY,garen,graves,-1.65
top,bot,ALLY,garen,kindred,-1.1
top,bot,ALLY,garen,singed,0.36
top,bot,ALLY,garen,mordekaiser,1.95
top,bot,ALLY,garen,pantheon,1.82
top,bot,ALLY,garen,zed,1.86
top,bot,ALLY,garen,sett,1.57
top,bot,ALLY,garen,thresh,0.7
top,bot,ALLY,garen,annie,2.72
top,bot,ALLY,garen,vex,-1.44
top,bot,ALLY,garen,sylas,-2.47
top,bot,ALLY,garen,orianna,-0.79
top,bot,ALLY,garen,malphite,-0.1
top,bot,ALLY,garen,zoe,4.29
top,bot,ALLY,garen,kennen,8.31
top,bot,ALLY,garen,rengar,10.54
top,bot,ALLY,garen,fizz,-4.23
top,bot,ALLY,garen,jayce,-0.97
top,bot,ALLY,garen,azir,-3.51
top,bot,ALLY,garen,zilean,-0.57
top,bot,ALLY,garen,ekko,13.89
top,bot,ALLY,garen,pyke,-3.05
top,bot,ALLY,garen,jax,1.03
top,bot,ALLY,garen,yorick,1.18
top,bot,ALLY,garen,drmundo,-0.25
top,bot,ALLY,garen,darius,0.65
top,bot,ALLY,garen,leblanc,-9.82
top,bot,ALLY,garen,gangplank,2.82
top,bot,ALLY,garen,viego,-4.44
top,bot,ALLY,garen,diana,-3.17
top,bot,ALLY,garen,briar,-2.8
top,bot,ALLY,garen,akali,2.7
top,bot,ALLY,garen,urgot,-7.47
top,bot,ALLY,garen,nasus,-2.2
top,bot,ALLY,garen,karma,5.99
top,bot,ALLY,garen,lissandra,-6.62
top,bot,ALLY,garen,leesin,-5.65
top,bot,ALLY,garen,nautilus,-8.56
top,bot,ALLY,garen,riven,10.7
top,bot,ALLY,garen,blitzcrank,-6.35
top,bot,ALLY,garen,tryndamere,-4.18
top,bot,ALLY,garen,galio,9.33
top,bot,ALLY,garen,xinzhao,5.84
top,bot,ALLY,garen,nidalee,-8.6
top,bot,ALLY,garen,jarvaniv,4.65
top,bot,ALLY,garen,volibear,14.18
top,bot,ALLY,garen,shaco,-0.43
top,bot,ALLY,garen,olaf,3.65
top,bot,ALLY,garen,gnar,5.77
top,bot,ALLY,garen,wukong,-14.38
top,bot,ALLY,garen,aatrox,8.21
top,bot,ALLY,garen,gwen,-9.09
top,bot,ALLY,garen,trundle,-2.53
top,bot,ALLY,garen,soraka,3.75
top,bot,ALLY,garen,zaahen,-0.05
top,bot,ALLY,garen,gragas,-16.98
top,bot,ALLY,garen,bard,-1.65
top,bot,ALLY,garen,lulu,-2.94
top,bot,ALLY,garen,kled,5.74
top,bot,ALLY,garen,qiyana,7.33
top,bot,ALLY,garen,sona,-0.61
top,bot,ALLY,garen,fiora,-6.58
top,bot,ALLY,garen,leona,6.13
top,bot,ALLY,garen,renekton,10.93
top,bot,ALLY,garen,kassadin,16.06
top,bot,ALLY,garen,ornn,6.74
top,bot,ALLY,garen,ambessa,12.92
top,bot,ALLY,garen,yuumi,-5.3
top,bot,ALLY,garen,ksante,3.85
top,bot,ALLY,garen,illaoi,-14.1
top,bot,ALLY,garen,shen,-6.9
top,bot,ALLY,garen,zac,-3.03
top,bot,ALLY,garen,nami,4.54
top,bot,ALLY,garen,lillia,4.06
top,bot,ALLY,garen,renata,0.94
top,bot,ALLY,garen,alistar,-4.84
top,bot,ALLY,garen,fiddlesticks,24.15
top,bot,ALLY,garen,rumble,0.32
top,bot,ALLY,garen,vi,23.84
top,bot,ALLY,garen,warwick,-4.3
top,bot,ALLY,garen,kayn,-4.01
top,bot,ALLY,garen,maokai,-4.53
top,bot,ALLY,garen,braum,5.85
top,bot,ALLY,garen,elise,-1.54
top,bot,ALLY,garen,rammus,15.86
top,bot,ALLY,garen,nocturne,-10.49
top,bot,ALLY,garen,udyr,-23.9
top,bot,ALLY,garen,poppy,16.72
top,bot,ALLY,garen,camille,-1.03
top,bot,ALLY,garen,nunu,17.76
top,bot,ALLY,garen,janna,-4.8
top,bot,ALLY,garen,taric,3.44
top,bot,ALLY,garen,milio,-13.47
top,bot,ALLY,garen,ivern,-18.01
top,bot,ALLY,garen,belveth,-0.39
top,bot,ALLY,garen,amumu,4.11
top,bot,ALLY,garen,rakan,-3.53
top,bot,ALLY,garen,talon,-8.02
top,bot,ALLY,garen,sejuani,8.7
top,bot,ALLY,garen,rell,2.94
top,bot,ALLY,garen,reksai,10.75
top,bot,ALLY,garen,evelynn,-5.19
top,bot,ALLY,garen,hecarim,18.86
top,bot,ALLY,garen,khazix,14.2
top,bot,ALLY,garen,skarner,-6.73
top,bot,ALLY,garen,shyvana,25.92
top,sup,ALLY,garen,lux,0.83
top,sup,ALLY,garen,thresh,-0.62
top,sup,ALLY,garen,nautilus,-0.19
top,sup,ALLY,garen,morgana,0.8
top,sup,ALLY,garen,nami,0.02
top,sup,ALLY,garen,leona,-0.37
top,sup,ALLY,garen,braum,-1.36
top,sup,ALLY,garen,seraphine,0.76
top,sup,ALLY,garen,lulu,-0.45
top,sup,ALLY,garen,milio,-0.14
top,sup,ALLY,garen,sona,-0.22
top,sup,ALLY,garen,pyke,-0.01
top,sup,ALLY,garen,blitzcrank,-0.06
top,sup,ALLY,garen,swain,-0.09
top,sup,ALLY,garen,karma,-0.06
top,sup,ALLY,garen,brand,0.71
top,sup,ALLY,garen,soraka,-0.01
top,sup,ALLY,garen,senna,0.27
top,sup,ALLY,garen,mel,0.56
top,sup,ALLY,garen,zyra,1.01
top,sup,ALLY,garen,yuumi,-0.42
top,sup,ALLY,garen,tahmkench,-0.01
top,sup,ALLY,garen,bard,0.21
top,sup,ALLY,garen,pantheon,-0.71
top,sup,ALLY,garen,xerath,1.36
top,sup,ALLY,garen,neeko,-0.2
top,sup,ALLY,garen,velkoz,-0.66
top,sup,ALLY,garen,alistar,-0.49
top,sup,ALLY,garen,rakan,-0.87
top,sup,ALLY,garen,janna,-0.21
top,sup,ALLY,garen,rell,-0.53
top,sup,ALLY,garen,zilean,0.23
top,sup,ALLY,garen,maokai,0.29
top,sup,ALLY,garen,malphite,0.61
top,sup,ALLY,garen,poppy,-1.1
top,sup,ALLY,garen,taric,-0.87
top,sup,ALLY,garen,shaco,0.34
top,sup,ALLY,garen,ashe,0.97
top,sup,ALLY,garen,teemo,1.82
top,sup,ALLY,garen,renata,-0.03
top,sup,ALLY,garen,galio,-0.49
top,sup,ALLY,garen,veigar,0.13
top,sup,ALLY,garen,shen,-0.19
top,sup,ALLY,garen,sylas,0.9
top,sup,ALLY,garen,zoe,1.07
top,sup,ALLY,garen,fiddlesticks,-0.41
top,sup,ALLY,garen,hwei,1.12
top,sup,ALLY,garen,amumu,-0.9
top,sup,ALLY,garen,leblanc,0.57
top,sup,ALLY,garen,elise,-0.94
top,sup,ALLY,garen,missfortune,1.94
top,sup,ALLY,garen,anivia,0.51
top,sup,ALLY,garen,ziggs,2.84
top,sup,ALLY,garen,chogath,1.47
top,sup,ALLY,garen,twitch,0.58
top,sup,ALLY,garen,sett,0.51
top,sup,ALLY,garen,heimerdinger,-0.25
top,sup,ALLY,garen,trundle,-0.13
top,sup,ALLY,garen,nidalee,-0.72
top,sup,ALLY,garen,sion,-0.79
top,sup,ALLY,garen,zac,-1.43
top,sup,ALLY,garen,lissandra,-0.76
top,sup,ALLY,garen,jarvaniv,-3.02
top,sup,ALLY,garen,annie,0.39
top,sup,ALLY,garen,leesin,0.37
top,sup,ALLY,garen,gragas,1.63
top,sup,ALLY,garen,malzahar,-2.28
top,sup,ALLY,garen,ahri,-2.37
top,sup,ALLY,garen,ivern,-0.75
top,sup,ALLY,garen,camille,-0.58
top,sup,ALLY,garen,aurelionsol,5.01
top,sup,ALLY,garen,drmundo,1.91
top,sup,ALLY,garen,varus,-1.73
top,sup,ALLY,garen,singed,0.07
top,sup,ALLY,garen,ornn,-1.99
top,sup,ALLY,garen,taliyah,3.12
top,sup,ALLY,garen,syndra,1.98
top,sup,ALLY,garen,twistedfate,4.41
top,sup,ALLY,garen,sejuani,-0.38
top,sup,ALLY,garen,jhin,-1.58
top,sup,ALLY,garen,vex,-1.23
top,sup,ALLY,garen,ezreal,-0.06
top,sup,ALLY,garen,fizz,-0.44
top,sup,ALLY,garen,kennen,-1.23
top,sup,ALLY,garen,yasuo,2.33
top,sup,ALLY,garen,ekko,-1.15
top,sup,ALLY,garen,orianna,3.58
top,sup,ALLY,garen,caitlyn,-1.79
top,sup,ALLY,garen,mordekaiser,-0.86
top,sup,ALLY,garen,jax,2.49
top,sup,ALLY,garen,rammus,2.01
